id,created_at,text
994677639364403200,2018-05-10 20:36:44,b'@Steff88979267 tell them to h*ck off'
994364904978239488,2018-05-09 23:54:02,b'@NFLOwnerGBP take it back'
994363623421153280,2018-05-09 23:48:56,"b'This is Louie. He has misplaced his Cheerio. Would love your help finding it. 14/10 of course, Louie https://t.co/p2aUdyoQU3'"
994336722875047936,2018-05-09 22:02:03,b'@rachaellanaghan \xe2\x9d\xa4\xef\xb8\x8f'
994024065982717952,2018-05-09 01:19:40,b'This is Captain Jack Wobbles. He is currently in command of this stump. Anyone who crossed him shall feel his wrink\xe2\x80\xa6 https://t.co/9tVJoKidir'
993944355051376640,2018-05-08 20:02:55,b'@shanestewart89 @darth who\xe2\x80\x99s the artist?'
993889355365257217,2018-05-08 16:24:22,b'@darth WHO SAID HE WASN\xe2\x80\x99T DARTH'
993889039714578432,2018-05-08 16:23:07,b'This is Manny. He hasn\xe2\x80\x99t seen your croissant. Not sure why you\xe2\x80\x99re questioning him. 13/10 for the honest boy https://t.co/1yMDweSH9K'
993629544463642624,2018-05-07 23:11:58,b'This is Libby. She leap. 14/10\n(IG: libbythefluffycorgi) https://t.co/pSt9QBSYNw'
993551676568195072,2018-05-07 18:02:33,b'@Wibblywobblykid no dollar sign just the whole number should work'
993551435202793473,2018-05-07 18:01:36,b'@XIDeasX in all honesty we want you to open this box and be overwhelmed with a similar feeling'
993550370105430016,2018-05-07 17:57:22,b'@Redox_rules @BellaMarieCt1 it should accept whole numbers from 0-1000'
993550075723964417,2018-05-07 17:56:11,b'@apureblackvoid it was also to get hateful people to comment and show themselves so i can block them'
993549188377055232,2018-05-07 17:52:40,b'@BillBodden if you selected not interested on the first question it should take you to just the demographic questions'
993547462743920640,2018-05-07 17:45:48,b'@failedinsomniac what other artwork is there'
993545616734195718,2018-05-07 17:38:28,b'@brant HI BRANT HOW ARE YOU'
993479993828298752,2018-05-07 13:17:43,b'@dodo omg'
993289347507027968,2018-05-07 00:40:09,b'Meet Grettle. She is unsure what she did to deserve this. Likes to be clean but never considered the mental cost. 1\xe2\x80\xa6 https://t.co/9rkh2AvNWp'
992835484916346880,2018-05-05 18:36:40,b'@JennyTee \xe2\x9d\xa4\xef\xb8\x8f'
992569952627560448,2018-05-05 01:01:32,b'@ShelbyNLRogers we\xe2\x80\x99ll remind you as much as we can'
992459058547445760,2018-05-04 17:40:53,"b'This is Bosco. On April 22nd he was hit by a car. The car sped away, and Bosco was left with a fractured hip. He un\xe2\x80\xa6 https://t.co/mzbbYj5o4G'"
992434549517881345,2018-05-04 16:03:29,b'@ForrestDickhut awwwww'
992241336677003264,2018-05-04 03:15:44,b'RT @dog_feelings: the human hasn\xe2\x80\x99t smiled much today. and i\xe2\x80\x99m not sure why. but i have a squeaker toy that looks like a cupcake. and i am c\xe2\x80\xa6'
992215164064817153,2018-05-04 01:31:44,"b'RT @jegan__mones: You howl all you want Charleston, honey https://t.co/Cv5bLk0ogh'"
992198572664860672,2018-05-04 00:25:48,b'This is Rosie. She thought Coachella was this weekend. Bought a non-refundable flower crown and everything. 13/10 m\xe2\x80\xa6 https://t.co/1bCfrWg2IS'
992108928791187456,2018-05-03 18:29:35,b'@HussMichael Michael... you may be onto something'
991837800474599427,2018-05-03 00:32:13,b'@gaygrich Happy. Kitchen. Bear.'
991837596887248896,2018-05-03 00:31:25,b'@joemcken @brianacollins_ co\xc3\xb3l'
991837147522064384,2018-05-03 00:29:38,b'Very funny guys. We only rate dogs. Please do not send in Happy Kitchen Bears. We will not rate them. Thank you...\xe2\x80\xa6 https://t.co/Z60glrqsAI'
991744823156793349,2018-05-02 18:22:46,b'@Electrodium @ChrisyRuddy i decided the majority of people would think i just misspelled it if i made that pun'
991744041351090177,2018-05-02 18:19:39,b'This is Riley. He\xe2\x80\x99ll be your chauffeur this evening. Hopes you don\xe2\x80\x99t mind if he drives with his shoulders. 13/10 wo\xe2\x80\xa6 https://t.co/UMlVIfaqLW'
991489999869800448,2018-05-02 01:30:11,b'@mulaney great work sir'
991468452232691712,2018-05-02 00:04:34,b'@Allen_Kim @DECAbrooks @dog_feelings you can unfollow for free \xf0\x9f\xa4\x97'
991403058625118208,2018-05-01 19:44:43,b'@darth IT LOOKS LIKE THERE ARE PLENTY DARTH WE JUST NEED TO KEEP B-MO HYDRATED'
991401309407465473,2018-05-01 19:37:46,b'@darth DARTH THERE IS A LINE NO CUTS'
991399795892916224,2018-05-01 19:31:45,b'This is B-Mo. He has a heart on his butt and he loves bringing people rocks. 13/10 a generous and talented boy https://t.co/UXje05PSlj'
991146093462413312,2018-05-01 02:43:37,b'@Mel30598 \xe2\x9d\xa4\xef\xb8\x8f'
991121306576879616,2018-05-01 01:05:08,b'@MarkBrokeIt @dog_feelings thank you sir. i promise to never resort to such terrorism again'
991117474551795712,2018-05-01 00:49:54,b'@Walters_Dom @dog_feelings anytime \xf0\x9f\x98\x98'
991117346990362624,2018-05-01 00:49:24,b'@MarkBrokeIt @dog_feelings we haven\xe2\x80\x99t broken even on them yet or i would never use these tactics'
991116499271278593,2018-05-01 00:46:02,b'Our Mother\xe2\x80\x99s Day card is only available through Wednesday! Your mom definitely saw this post and will be expecting\xe2\x80\xa6 https://t.co/QTZB5Qi5Re'
