Name;Team;Position;Height(inches);Weight(pounds)
Adam_Donachie;BAL;Catcher;74;180
Paul_Bako;BAL;Catcher;74;215
Ramon_Hernandez;BAL;Catcher;72;210
Kevin_Millar;BAL;First_Baseman;72;210
Chris_Gomez;BAL;First_Baseman;73;188
Brian_Roberts;BAL;Second_Baseman;69;176
Miguel_Tejada;BAL;Shortstop;69;209
Melvin_Mora;BAL;Third_Baseman;71;200
Aubrey_Huff;BAL;Third_Baseman;76;231
Adam_Stern;BAL;Outfielder;71;180
Jeff_Fiorentino;BAL;Outfielder;73;188
Freddie_Bynum;BAL;Outfielder;73;180
Nick_Markakis;BAL;Outfielder;74;185
Brandon_Fahey;BAL;Outfielder;74;160
Corey_Patterson;BAL;Outfielder;69;180
Jay_Payton;BAL;Outfielder;70;185
Jay_Gibbons;BAL;Designated_Hitter;72;197
Erik_Bedard;BAL;Starting_Pitcher;73;189
Hayden_Penn;BAL;Starting_Pitcher;75;185
Adam_Loewen;BAL;Starting_Pitcher;78;219
Daniel_Cabrera;BAL;Starting_Pitcher;79;230
Steve_Trachsel;BAL;Starting_Pitcher;76;205
Jaret_Wright;BAL;Starting_Pitcher;74;230
Kris_Benson;BAL;Starting_Pitcher;76;195
Scott_Williamson;BAL;Relief_Pitcher;72;180
John_Parrish;BAL;Relief_Pitcher;71;192
Danys_Baez;BAL;Relief_Pitcher;75;225
Chad_Bradford;BAL;Relief_Pitcher;77;203
Jamie_Walker;BAL;Relief_Pitcher;74;195
Brian_Burres;BAL;Relief_Pitcher;73;182
Kurt_Birkins;BAL;Relief_Pitcher;74;188
James_Hoey;BAL;Relief_Pitcher;78;200
Sendy_Rleal;BAL;Relief_Pitcher;73;180
Chris_Ray;BAL;Relief_Pitcher;75;200
Jeremy_Guthrie;BAL;Relief_Pitcher;73;200
A.J._Pierzynski;CWS;Catcher;75;245
Toby_Hall;CWS;Catcher;75;240
Paul_Konerko;CWS;First_Baseman;74;215
Tadahito_Iguchi;CWS;Second_Baseman;69;185
Juan_Uribe;CWS;Shortstop;71;175
Alex_Cintron;CWS;Shortstop;74;199
Joe_Crede;CWS;Third_Baseman;73;200
Josh_Fields;CWS;Third_Baseman;73;215
Ryan_Sweeney;CWS;Outfielder;76;200
Brian_N._Anderson;CWS;Outfielder;74;205
Luis_Terrero;CWS;Outfielder;74;206
Pablo_Ozuna;CWS;Outfielder;70;186
Scott_Podsednik;CWS;Outfielder;72;188
Jermaine_Dye;CWS;Outfielder;77;220
Darin_Erstad;CWS;Outfielder;74;210
Rob_Mackowiak;CWS;Outfielder;70;195
Jim_Thome;CWS;Designated_Hitter;76;244
Jerry_Owens;CWS;Designated_Hitter;75;195
Charlie_Haeger;CWS;Starting_Pitcher;73;200
Heath_Phillips;CWS;Starting_Pitcher;75;200
Gavin_Floyd;CWS;Starting_Pitcher;76;212
Jose_Contreras;CWS;Starting_Pitcher;76;224
Jon_Garland;CWS;Starting_Pitcher;78;210
Javier_Vazquez;CWS;Starting_Pitcher;74;205
Mark_Buehrle;CWS;Starting_Pitcher;74;220
Mike_MacDougal;CWS;Relief_Pitcher;76;195
David_Aardsma;CWS;Relief_Pitcher;77;200
Andrew_Sisco;CWS;Relief_Pitcher;81;260
Matt_Thornton;CWS;Relief_Pitcher;78;228
Bobby_Jenks;CWS;Relief_Pitcher;75;270
Boone_Logan;CWS;Relief_Pitcher;77;200
Sean_Tracey;CWS;Relief_Pitcher;75;210
Nick_Masset;CWS;Relief_Pitcher;76;190
Jose_Molina;ANA;Catcher;74;220
Jeff_Mathis;ANA;Catcher;72;180
Mike_Napoli;ANA;Catcher;72;205
Casey_Kotchman;ANA;First_Baseman;75;210
Kendry_Morales;ANA;First_Baseman;73;220
Shea_Hillenbrand;ANA;First_Baseman;73;211
Robb_Quinlan;ANA;First_Baseman;73;200
Howie_Kendrick;ANA;First_Baseman;70;180
Orlando_Cabrera;ANA;Shortstop;70;190
Erick_Aybar;ANA;Shortstop;70;170
Dallas_McPherson;ANA;Third_Baseman;76;230
Maicer_Izturis;ANA;Third_Baseman;68;155
Reggie_Willits;ANA;Outfielder;71;185
Tommy_Murphy;ANA;Outfielder;72;185
Terry_Evans;ANA;Outfielder;75;200
Gary_Matthews_Jr.;ANA;Outfielder;75;225
Garret_Anderson;ANA;Outfielder;75;225
Vladimir_Guerrero;ANA;Outfielder;75;220
Chone_Figgins;ANA;Outfielder;68;160
Juan_Rivera;ANA;Outfielder;74;205
John_Lackey;ANA;Starting_Pitcher;78;235
Bartolo_Colon;ANA;Starting_Pitcher;71;250
Kelvim_Escobar;ANA;Starting_Pitcher;73;210
Dustin_Moseley;ANA;Starting_Pitcher;76;190
Ervin_Santana;ANA;Starting_Pitcher;74;160
Joe_Saunders;ANA;Starting_Pitcher;74;200
Jered_Weaver;ANA;Starting_Pitcher;79;205
Chris_Resop;ANA;Relief_Pitcher;75;222
Phil_Seibel;ANA;Relief_Pitcher;73;195
Justin_Speier;ANA;Relief_Pitcher;76;205
Darren_Oliver;ANA;Relief_Pitcher;74;220
Hector_Carrasco;ANA;Relief_Pitcher;74;220
Scot_Shields;ANA;Relief_Pitcher;73;170
Francisco_Rodriguez;ANA;Relief_Pitcher;72;185
Greg_Jones;ANA;Relief_Pitcher;74;195
Doug_Mirabelli;BOS;Catcher;73;220
Jason_Varitek;BOS;Catcher;74;230
George_Kottaras;BOS;Catcher;72;180
Kevin_Youkilis;BOS;First_Baseman;73;220
