"id","participant_id","realAge","correctGuess","predicted_age","finalComments"
"11253","8476813945","0","0","0","I found that my left eye is better at distinguishing blues, worse at reds than my right eye. I closed my left eye during the test and blurred my vision out of focus, which helped me see the C better :)"
"19","96797800133936100000","31","0","17",
"18","67136739357374610000","0","0","0","I'm kind of impressed you thought I was 13!"
"6","9058311571323508000","23","0","16",
"17","67136739357374610000","0","0","0","I'm kind of impressed you thought I was 13!"
"16","67136739357374610000","48","0","13",
"10896","2740085460","49","0","23",
"14","54970330232754350000","26","0","15",
"21","96179774147458370000","48","0","17",
"22","5188860490636038000","29","0","18",
"10895","6824635050","42","0","16",
"24","7773367594927549000","19","0","17",
"25","7773367594927549000","0","0","0","It was close enough. ;)"
"26","7773367594927549000","0","0","0","It was close enough. ;)"
"27","61318922322243450000","15","0","17",
"10894","1916960731","33","0","15",
"29","86053596343845130000","36","0","22",
"11252","8476813945","25","0","14",
"31","31919932016171516000","29","0","17",
"32","23968224367126823000","27","0","16",
"33","36844695266336203000","49","0","16",
"34","4596001142635941400","21","0","15",
"35","70094671426340940000","0","0","0","18 in three months so pretty close."
"36","70094671426340940000","0","0","0","18 in three months so pretty close."
"37","70094671426340940000","0","0","0","18 in three months so pretty close."
"11251","8476813945","26","0","14",
"39","36494208546355368000","51","0","15",
"40","36494208546355368000","52","0","15",
"10891","4346820118","47","0","18",
"42","49905586615204815000","22","0","14",
"10890","9339827077","49","0","17",
"11680","234","19","0","19",
"45","50448337895795700000","53","0","16",
"10888","6884344005","35","0","16",
"47","6416062870994210000","25","0","16",
"10887","5895546752","21","0","17",
"10886","82998897","54","0","20",
"50","55317336546566030000","27","0","17",
"51","49205496651120484000","44","0","17",
"10885","3761705549","0","0","0","Oops!"
"53","64732065959833560000","20","0","16",
"10884","3761705549","56","0","22",
"10883","8627720847","55","0","17",
"10882","6083784683","0","0","0","Thanks :)"
"10881","6083784683","47","0","15",
"10880","3209887447","30","0","22",
"59","20753918960690500000","26","0","17",
"10879","9381001021","26","0","17",
"61","5532234466852126000","34","0","20",
"62","14435268961824477000","47","0","20",
"63","14435268961824477000","0","0","0","I'm actually on my way to get my eyes tested because I need new computer/reading glasses."
"64","30231054220348596000","41","0","20",
"66","60981044592335820000","17","0","17",
"67","21334525759850988000","31","0","15",
"68","88628279720433060000","39","0","17",
"70","25582713587209580000","31","0","13",
"71","25582713587209580000","0","0","0","would be useful to know why it thought i was 20 years younger. did i do ""poorly"" or ""well""?"
"72","25582713587209580000","0","0","0","would be useful to know why it thought i was 20 years younger. did i do ""poorly"" or ""well""?"
"73","82862500729970640000","25","0","17",
"74","94623166844998470000","36","0","16",
"10878","5638240440","0","0","0","Red/green colourblindness runs in my family, although (so far) it has only affected the men, as one might expect."
"79","77585827675648030000","27","0","16",
"80","59423169516958290000","16","0","17",
